gene_class,symbol,geneid,samp1,samp2,samp3,samp4,samp5,samp6,samp7,samp8,samp9,samp10,samp11,samp12
Positive,POS_A,ERCC_00117.1,44049,58308,54349,46824,62871,56969,73088,72038,59303,62845,60867,64117
Positive,POS_B,ERCC_00112.1,9836,13506,12652,10346,14390,12888,16624,17045,13219,14077,13750,14146
Positive,POS_C,ERCC_00002.1,2712,3632,3463,2830,3918,3462,4594,4604,3564,3649,3755,3820
Positive,POS_D,ERCC_00092.1,700,948,887,823,1026,956,1149,1222,935,996,1003,965
Positive,POS_E,ERCC_00035.1,161,209,177,181,200,217,260,228,241,221,202,207
Positive,POS_F,ERCC_00034.1,42,61,65,55,79,71,70,79,75,56,56,59
Negative,NEG_A,ERCC_00096.1,7,10,11,16,7,8,17,8,16,9,5,9
Negative,NEG_B,ERCC_00041.1,11,13,6,12,10,6,10,10,13,10,7,11
Negative,NEG_C,ERCC_00019.1,8,9,8,10,4,4,10,11,12,9,7,12
Negative,NEG_D,ERCC_00076.1,3,3,5,6,2,2,4,7,7,6,5,4
Negative,NEG_E,ERCC_00098.1,10,12,10,14,15,5,19,16,9,14,10,14
Negative,NEG_F,ERCC_00126.1,8,21,19,9,8,6,19,15,15,21,16,14
Negative,NEG_G,ERCC_00144.1,1,1,2,2,4,2,2,4,5,4,3,3
Negative,NEG_H,ERCC_00154.1,5,3,1,4,3,2,3,6,4,5,6,9
Endogenous,ACADVL,NM_001270447.1,4991,681,920,5421,751,283,869,1072,2577,2483,1108,1111
Endogenous,ACSL5,NM_203379.1,1469,183,309,1571,351,75,317,310,731,729,561,512
Endogenous,ADAR,NM_001111.3,6313,727,1157,6932,1129,681,1173,1080,3046,2553,1608,1609
Endogenous,ADD1,NM_001119.4,1938,277,494,1906,392,141,462,503,1245,944,687,748
Endogenous,ADORA2A,NM_000675.3,279,135,274,356,189,99,193,167,691,431,342,339
Endogenous,AHR,NM_001621.3,1569,393,604,1565,272,132,469,701,1591,2316,562,835
Endogenous,AKT1,NM_001014432.1,2050,249,450,2082,362,163,393,349,1015,827,595,527
Endogenous,AKT2,NM_001626.4,1885,236,420,1898,392,171,408,378,1014,837,598,614
Endogenous,ALDH3A2,NM_001031806.1,520,117,209,560,153,67,167,194,503,414,208,248
Endogenous,ALDOA,NM_184041.2,14095,1062,1502,15072,1283,633,1460,1479,4565,3244,2139,2032
Endogenous,ATG7,NM_001136031.2,779,159,188,773,558,108,319,227,806,681,599,488
Endogenous,ATP5MG,NM_006476.4,1862,221,274,1652,263,114,274,276,518,412,371,321
Endogenous,ATP5PD,NM_006356.2,2465,225,424,2140,313,189,358,378,749,726,569,541
Endogenous,ATP6V1F,NM_001198909.1,2735,282,420,2805,437,189,472,435,910,777,606,616
Endogenous,BATF,NM_006399.3,844,265,314,1226,354,202,388,340,833,726,496,424
