gene_class,symbol,geneid,samp1,samp2,samp3,samp4,samp5,samp6,samp7,samp8,samp9,samp10,samp11,samp12
Positive,POS_A,ERCC_00117.1,31120,61261,69473,52112,66272,73790,77912,72413,69385,74258,71216,64088
Positive,POS_B,ERCC_00112.1,6356,13847,15199,11249,14151,16197,17264,16845,14614,15511,15223,14064
Positive,POS_C,ERCC_00002.1,2015,3937,4402,3227,4149,4598,4907,4722,4249,4443,4247,3935
Positive,POS_D,ERCC_00092.1,475,976,1104,884,1039,1196,1311,1207,1068,1214,1164,1025
Positive,POS_E,ERCC_00035.1,130,218,237,205,233,246,269,265,241,266,240,237
Positive,POS_F,ERCC_00034.1,26,68,75,37,54,55,102,74,71,75,72,64
Negative,NEG_A,ERCC_00096.1,5,8,6,7,4,5,6,8,7,10,9,3
Negative,NEG_B,ERCC_00041.1,6,3,6,9,4,2,6,6,2,8,10,6
Negative,NEG_C,ERCC_00019.1,9,8,3,5,5,5,7,7,7,1,5,11
Negative,NEG_D,ERCC_00076.1,5,3,3,8,1,4,5,3,5,3,3,2
Negative,NEG_E,ERCC_00098.1,8,7,14,9,11,9,14,9,8,10,9,14
Negative,NEG_F,ERCC_00126.1,12,15,14,11,6,15,14,11,13,9,8,8
Negative,NEG_G,ERCC_00144.1,4,1,2,4,2,1,1,1,1,2,3,3
Negative,NEG_H,ERCC_00154.1,11,3,2,7,3,1,4,2,7,1,5,2
Endogenous,ACAA2,NM_006111.2,2982,157,281,1959,182,63,241,230,358,213,340,331
Endogenous,ACAP2,NM_012287.5,1422,153,323,845,248,166,262,205,245,152,412,379
Endogenous,ACAT2,NM_005891.2,2388,91,222,1731,136,94,147,111,290,183,267,228
Endogenous,ACOX1,NM_004035.5,880,69,142,546,98,93,119,108,122,96,159,168
Endogenous,ADA,NM_000022.2,1499,87,205,850,134,88,182,149,261,163,260,325
Endogenous,ADK,NM_001123.2,3000,103,260,1842,124,53,171,140,220,130,228,225
Endogenous,ADORA2A,NM_000675.3,468,131,289,356,172,108,198,131,300,148,352,361
Endogenous,AK3,NM_016282.2,1189,109,290,708,179,69,148,135,169,115,299,219
Endogenous,AKT1,NM_001014431.1,1932,182,385,1195,221,168,275,214,302,224,401,299
Endogenous,AKT2,NM_001626.4,2460,226,404,1537,289,200,341,268,387,239,500,455
Endogenous,AKT3,NM_005465.4,774,204,338,452,215,203,324,373,400,199,394,566
Endogenous,ALDOA,NM_184041.2,22501,1165,2171,17133,1471,819,1589,1287,2997,1924,2528,2092
Endogenous,AMPD2,NM_004037.6,899,55,137,518,93,60,126,100,116,55,160,137
Endogenous,AMPD3,NM_000480.2,586,53,101,377,115,59,136,117,148,84,188,230
Endogenous,AP2S1,NM_021575.2,3026,175,370,2062,274,157,306,256,424,420,543,417
Endogenous,APRT,NM_000485.2,3804,297,494,2589,397,512,510,403,615,465,698,525
Endogenous,ARF5,NM_001662.2,963,193,295,698,185,197,231,177,259,205,297,253
Endogenous,ARID1A,NM_006015.4,1580,180,381,885,253,196,282,213,282,158,443,350
Endogenous,ARID1B,NM_020732.3,1052,162,274,649,196,84,185,158,217,112,295,301
Endogenous,ARID2,NM_152641.2,2559,222,362,1184,297,152,310,270,297,128,492,493
Endogenous,ARPC4,NM_005718.4,19248,1668,3234,11187,2226,1550,2726,2107,2963,2453,4069,3295
Endogenous,ASH1L,NM_018489.2,1751,219,461,767,305,230,367,287,370,101,495,484
Endogenous,ATF4,NM_001675.2,13845,876,1791,8583,1066,727,1192,1282,1754,1107,2049,1547
Endogenous,ATF7,NM_001130060.1,902,128,229,500,170,90,179,167,236,77,332,288
Endogenous,ATF7IP,NM_018179.3,2089,331,929,1030,661,220,607,515,599,327,1143,925
Endogenous,ATG101,NM_021934.4,765,73,106,543,75,62,107,65,110,99,156,120
Endogenous,ATG2B,NM_018036.5,955,114,201,587,142,80,183,170,171,69,237,235
Endogenous,ATP5F1D,NM_001687.4,2445,182,416,1825,258,100,295,277,425,288,434,354
Endogenous,ATP5ME,NM_007100.3,4035,320,558,2922,464,364,472,430,598,582,762,559
Endogenous,ATP6V1F,NM_001198909.1,4022,280,659,2983,430,248,487,424,650,555,829,645
Endogenous,ATXN7,NM_001128149.2,1726,194,528,910,311,154,330,331,314,143,541,520
Endogenous,BCL2L1,NM_138578.1,2347,114,135,2220,146,126,198,168,356,177,198,267
Endogenous,BRAF,NM_004333.3,987,114,164,509,142,80,168,128,155,86,217,205
Endogenous,CAB39,NM_001130849.1,4165,316,681,3050,413,124,505,574,773,440,721,805
Endogenous,CAD,NM_004341.3,2684,71,128,1628,105,113,146,86,139,91,157,134
Endogenous,CARD11,NM_032415.2,2825,308,447,1712,396,423,530,397,403,352,624,545
